url,WeekID,Week Position,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,5,Futsal Shuffle 2020,Lil Uzi Vert,Futsal Shuffle 2020Lil Uzi Vert,1,,5,1
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,56,Playing Games,Summer Walker,Playing GamesSummer Walker,2,53,16,16
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,67,Dirty Iyanna,YoungBoy Never Broke Again,Dirty IyannaYoungBoy Never Broke Again,1,,67,1
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,44,One Man Band,Old Dominion,One Man BandOld Dominion,1,41,20,17
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,45,Only Human,Jonas Brothers,Only HumanJonas Brothers,2,44,18,27
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,62,Falling,Harry Styles,FallingHarry Styles,1,,62,1
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,88,Slow Dancing In The Dark,Joji,Slow Dancing In The DarkJoji,3,81,69,11
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,6,A Holly Jolly Christmas,Burl Ives,A Holly Jolly ChristmasBurl Ives,4,10,6,13
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,2,Rockin' Around The Christmas Tree,Brenda Lee,Rockin' Around The Christmas TreeBrenda Lee,9,3,2,31
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,1,All I Want For Christmas Is You,Mariah Carey,All I Want For Christmas Is YouMariah Carey,9,1,1,35
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,55,The Bones,Maren Morris,The BonesMaren Morris,3,54,48,13
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,18,The Box,Roddy Ricch,The BoxRoddy Ricch,1,47,18,2
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,16,BOP,DaBaby,BOPDaBaby,1,11,11,12
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,78,Let Me Know (I Wonder Why Freestyle),Juice WRLD,Let Me Know (I Wonder Why Freestyle)Juice WRLD,1,,78,1
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,79,Nobody But You,Blake Shelton Duet With Gwen Stefani,Nobody But YouBlake Shelton Duet With Gwen Stefani,1,,79,1
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,93,Baby Sitter,DaBaby Featuring Offset,Baby SitterDaBaby Featuring Offset,1,84,59,19
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,87,Prayed For You,Matt Stell,Prayed For YouMatt Stell,1,79,36,20
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,83,Famous Hoes,NLE Choppa,Famous HoesNLE Choppa,1,,83,1
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,86,Golden,Harry Styles,GoldenHarry Styles,1,,86,1
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,30,The Christmas Song (Merry Christmas To You),Nat King Cole,The Christmas Song (Merry Christmas To You)Nat King Cole,8,32,30,19
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,84,Cherry,Harry Styles,CherryHarry Styles,1,,84,1
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,14,Ballin',Mustard Featuring Roddy Ricch,Ballin'Mustard Featuring Roddy Ricch,1,18,14,22
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,21,Senorita,Shawn Mendes & Camila Cabello,SenoritaShawn Mendes & Camila Cabello,1,16,1,26
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,29,Panini,Lil Nas X,PaniniLil Nas X,1,22,5,26
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,39,Ran$om,Lil Tecca,Ran$omLil Tecca,1,31,4,29
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,8,Someone You Loved,Lewis Capaldi,Someone You LovedLewis Capaldi,1,4,1,32
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,25,Bad Guy,Billie Eilish,Bad GuyBillie Eilish,1,21,1,38
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,89,RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life)The Black Eyed Peas X J Balvin,2,96,89,4
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,69,Start Wit Me,Roddy Ricch & Gunna,Start Wit MeRoddy Ricch & Gunna,2,58,58,5
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,37,Sleigh Ride,The Ronettes,Sleigh RideThe Ronettes,2,37,37,6
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,36,Rudolph The Red-Nosed Reindeer,Gene Autry,Rudolph The Red-Nosed ReindeerGene Autry,2,38,36,7
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,61,My Oh My,Camila Cabello Featuring DaBaby,My Oh MyCamila Cabello Featuring DaBaby,1,82,61,2
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,71,Camelot,NLE Choppa,CamelotNLE Choppa,1,66,37,14
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,73,Remember You Young,Thomas Rhett,Remember You YoungThomas Rhett,1,63,53,14
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,76,Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott,Take What You WantPost Malone Featuring Ozzy Osbourne & Travis Scott,1,67,8,15
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,91,223's,YNW Melly & 9lokknine,223'sYNW Melly & 9lokknine,1,80,34,15
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,3,Circles,Post Malone,CirclesPost Malone,1,2,1,16
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,99,She,Harry Styles,SheHarry Styles,1,,99,1
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,24,Adore You,Harry Styles,Adore YouHarry Styles,1,35,24,2
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,90,Peta,Roddy Ricch Featuring Meek Mill,PetaRoddy Ricch Featuring Meek Mill,1,72,72,2
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,92,BEST ON EARTH,Russ & BIA,BEST ON EARTHRuss & BIA,1,100,92,2
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,38,Falling,Trevor Daniel,FallingTrevor Daniel,1,36,36,5
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,96,Homesick,Kane Brown,HomesickKane Brown,1,90,88,5
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,40,Happy Holiday / The Holiday Season,Andy Williams,Happy Holiday / The Holiday SeasonAndy Williams,1,43,40,3
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,43,No Idea,Don Toliver,No IdeaDon Toliver,1,76,43,3
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,53,Like It's Christmas,Jonas Brothers,Like It's ChristmasJonas Brothers,1,61,53,3
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,95,Yellow Hearts,Ant Saunders,Yellow HeartsAnt Saunders,1,95,81,6
https://www.billboard.com/charts/hot-100/2019-12-28,12/28/19,11,Dance Monkey,Tones And I,Dance MonkeyTones And I,1,9,9,11
