WeekID,Week Number,Week Position,Song,Performer,Previous Week Position,Peak Position,Weeks on Chart
1/5/19,1,37,A Lot,21 Savage,,37,1
1/5/19,1,40,Blue Christmas,Elvis Presley,,40,1
1/5/19,1,57,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,,57,1
1/5/19,1,58,Can't Leave Without It,21 Savage,,58,1
1/5/19,1,65,Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga,,65,1
1/5/19,1,67,All My Friends,21 Savage,,67,1
1/5/19,1,70,Break Da Law,21 Savage,,70,1
1/5/19,1,62,Dangerous,Meek Mill Featuring Jeremih & PnB Rock,53,31,19
1/5/19,1,49,Jingle Bells,Frank Sinatra,,49,1
1/5/19,1,75,Consequences,Camila Cabello,69,69,8
1/5/19,1,81,Beautiful Crazy,Luke Combs,81,81,7
1/5/19,1,10,A Holly Jolly Christmas,Burl Ives,12,10,9
1/5/19,1,9,Rockin' Around The Christmas Tree,Brenda Lee,11,9,27
1/5/19,1,3,All I Want For Christmas Is You,Mariah Carey,7,3,29
1/5/19,1,73,Monster,21 Savage,,73,1
1/5/19,1,22,Breathin,Ariana Grande,19,12,19
1/5/19,1,54,She Got The Best Of Me,Luke Combs,51,34,20
1/5/19,1,4,Sicko Mode,Travis Scott,3,1,21
1/5/19,1,93,Gun Smoke,21 Savage,,93,1
1/5/19,1,11,The Christmas Song (Merry Christmas To You),Nat King Cole,17,11,16
1/5/19,1,55,The Christmas Song,Lauren Daigle,90,55,2
1/5/19,1,86,1.5,21 Savage,,86,1
1/5/19,1,88,Out For The Night,21 Savage,,88,1
1/5/19,1,94,Demons And Angels,A Boogie Wit da Hoodie Featuring Juice WRLD,,94,1
1/5/19,1,95,ASMR,21 Savage,,95,1
1/5/19,1,30,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",25,11,13
1/5/19,1,52,Shallow,Lady Gaga & Bradley Cooper,44,5,13
1/5/19,1,84,This Feeling,The Chainsmokers Featuring Kelsea Ballerini,66,66,11
1/5/19,1,100,This Is It,Scotty McCreery,84,84,3
1/5/19,1,50,Beautiful,Bazzi Featuring Camila Cabello,38,30,21
1/5/19,1,23,Better Now,Post Malone,21,3,35
